PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
39701;;;;;1;0;0;0;0;0;1;0;0;0;RASTEIRA TRASEIRO SOL NOBUCK 7144 CRYSTA;CALCADOS                 ;RASTEIRA TRASEIRO        ;ALGAS                                   
39719;;;;;1;0;0;0;1;0;0;0;0;0;SANDALIA BAIXA COURO ATANADO WW DESIGNER;CALCADOS                 ;SANDALIA BAIXA           ;FENDI                                   
39721;;;;;1;0;0;0;0;0;1;0;0;0;PLATAFORMA JO NOBUCK BEBECE 5116178     ;CALCADOS                 ;PLATAFORMA               ;PRETA                                   
39727;;;;;7;0;0;1;3;2;0;0;1;0;MULE NAPA JS MULLER MK4824              ;CALCADOS                 ;MULE                     ;MANTEIGA                                
39727;;;;;4;1;0;1;1;1;0;0;0;0;MULE NAPA JS MULLER MK4824              ;CALCADOS                 ;MULE                     ;CASCA                                   
39727;;;;;1;0;0;0;1;0;0;0;0;0;MULE NAPA JS MULLER MK4824              ;CALCADOS                 ;MULE                     ;MILK                                    
39832;;;;;12;3;0;2;1;4;0;2;0;0;RASTEIRA CHINELO NAPA GF1518S EMP       ;CALCADOS                 ;RASTEIRA CHINELO         ;PRETA                                   
39832;;;;;1;0;0;0;1;0;0;0;0;0;RASTEIRA CHINELO NAPA GF1518S EMP       ;CALCADOS                 ;RASTEIRA CHINELO         ;AMEIXA                                  
39832;;;;;1;0;0;0;0;0;0;1;0;0;RASTEIRA CHINELO NAPA GF1518S EMP       ;CALCADOS                 ;RASTEIRA CHINELO         ;CASCA                                   
39832;;;;;1;1;0;0;0;0;0;0;0;0;RASTEIRA CHINELO NAPA GF1518S EMP       ;CALCADOS                 ;RASTEIRA CHINELO         ;HOT PINK                                
39848;;;;;2;0;0;0;1;1;0;0;0;0;TENIS NAPA TECIDO GORGURINHO 2611 THEORI;CALCADOS                 ;TENIS                    ;CAMEL                                   
39848;;;;;6;0;0;1;2;2;0;1;0;0;TENIS NAPA TECIDO GORGURINHO 2611 THEORI;CALCADOS                 ;TENIS                    ;MILK                                    
39874;;;;;3;3;0;0;0;0;0;0;0;0;PORTA CARTAO NAPA PC2416 YEGGUS         ;ACESSORIOS               ;PORTA CARTAO             ;PRETA                                   
39876;;;;;5;5;0;0;0;0;0;0;0;0;PORTA NIQUEL NAPA PN2515 YEGGUS         ;ACESSORIOS               ;PORTA NIQUEL             ;PRETA                                   
39876;;;;;2;2;0;0;0;0;0;0;0;0;PORTA NIQUEL NAPA PN2515 YEGGUS         ;ACESSORIOS               ;PORTA NIQUEL             ;CORAL                                   
39876;;;;;1;1;0;0;0;0;0;0;0;0;PORTA NIQUEL NAPA PN2515 YEGGUS         ;ACESSORIOS               ;PORTA NIQUEL             ;ROSA CHOQUE                             
39894;;;;;2;2;0;0;0;0;0;0;0;0;PORTA CARTAO COURO SALAMANTA 140001 ANVE;ACESSORIOS               ;PORTA CARTAO             ;PRETA                                   
39899;;;;;2;1;0;1;0;0;0;0;0;0;CINTO COURO 00001 ANVER                 ;ACESSORIOS               ;CINTO                    ;PRETA                                   
39899;;;;;2;0;0;1;1;0;0;0;0;0;CINTO COURO 00001 ANVER                 ;ACESSORIOS               ;CINTO                    ;CORAL                                   
39899;;;;;5;1;0;3;1;0;0;0;0;0;CINTO COURO 00001 ANVER                 ;ACESSORIOS               ;CINTO                    ;ALGAS                                   
39900;;;;;1;0;0;0;0;1;0;0;0;0;CINTO COURO NOBUCK 00002 ANVER          ;ACESSORIOS               ;CINTO                    ;CORAL                                   
39901;;;;;2;1;0;0;1;0;0;0;0;0;CINTO COURO 00003 ANVER                 ;ACESSORIOS               ;CINTO                    ;MILK                                    
39901;;;;;5;0;0;3;2;0;0;0;0;0;CINTO COURO 00003 ANVER                 ;ACESSORIOS               ;CINTO                    ;ALGAS                                   
39903;;;;;2;0;0;0;0;0;1;1;0;0;ANABELA COURO ATANADO 1201132 WW DESIGNE;CALCADOS                 ;ANABELA                  ;FENDI                                   
39926;;;;;7;1;0;1;0;1;3;1;0;0;TENIS KNIT 1344466 BEBECE               ;CALCADOS                 ;TENIS                    ;COTTON                                  
